u_i;p;M;L;l.1
2766;10005;1;1;1
2817;10005;1;1;1
2867;10005;1;1;1
2917;10005;1;1;1
2968;10005;1;1;1
3018;10005;1;1;1
3068;10005;1;1;1
3118;10005;1;1;1
3169;10005;1;1;1
3219;10005;1;1;1
3269;10005;1;1;1
3320;10005;1;1;1
3370;10005;1;1;1
3420;10005;1;1;1
3470;10005;1;1;1
3521;10005;1;1;1
3571;10005;1;1;1
3621;10005;1;1;1
3672;10005;1;1;1
3722;10005;1;1;1
3772;10005;1;1;1
3822;10005;1;1;1
3873;10005;1;1;1
3923;10005;1;1;1
3973;10005;1;1;1
4024;10005;1;1;1
4074;10005;1;1;1
4124;10005;1;1;1
4174;10005;1;1;1
4225;10005;1;1;1
4275;10005;1;1;1
4325;10005;1;1;1
4375;10005;1;1;1
4426;10005;1;1;1
4476;10005;1;1;1
4526;10005;1;1;1
4577;10005;1;1;1
4627;10005;1;1;1
4677;10005;1;1;1
4727;10005;1;1;1
4778;10005;1;1;1
4828;10005;1;1;1
4878;10005;1;1;1
4929;10005;1;1;1
4979;10005;1;1;1
5029;10005;1;1;1
5079;10005;1;1;1
5130;10005;1;1;1
5180;10005;1;1;1
5230;10005;1;1;1
5281;10005;1;1;1
5331;10005;1;1;1
5381;10005;1;1;1
5431;10005;1;1;1
5482;10005;1;1;1
5532;10005;1;1;1
5582;10005;1;1;1
5633;10005;1;1;1
5683;10005;1;1;1
5733;10005;1;1;1
5783;10005;1;1;1
5834;10005;1;1;1
5884;10005;1;1;1
5934;10005;1;1;1
5984;10005;1;1;1
6035;10005;1;1;1
6085;10005;1;1;1
6135;10005;1;1;1
6186;10005;1;1;1
6236;10005;1;1;1
6286;10005;1;1;1
6336;10005;1;1;1
6387;10005;1;1;1
6437;10005;1;1;1
6487;10005;1;1;1
6538;10005;1;1;1
6588;10005;1;1;1
6638;10005;1;1;1
6688;10005;1;1;1
6739;10005;1;1;1
6789;10005;1;1;1
6839;10005;1;1;1
6890;10005;1;1;1
6940;10005;1;1;1
6990;10005;1;1;1
7040;10005;1;1;1
7091;10005;1;1;1
7141;10005;1;1;1
7191;10005;1;1;1
7242;10005;1;1;1
7292;10005;1;1;1
7342;10005;1;1;1
7392;10005;1;1;1
7443;10005;1;1;1
7493;10005;1;1;1
7543;10005;1;1;1
7593;10005;1;1;1
7644;10005;1;1;1
7694;10005;1;1;1
7744;10005;1;1;1
7795;10005;1;1;1
7845;10005;1;1;1
7895;10005;1;1;1
7945;10005;1;1;1
7996;10005;1;1;1
8046;10005;1;1;1
8096;10005;1;1;1
8147;10005;1;1;1
8197;10005;1;1;1
8247;10005;1;1;1
8297;10005;1;1;1
8348;10005;1;1;1
8398;10005;1;1;1
8448;10005;1;1;1
8499;10005;1;1;1
8549;10005;1;1;1
8599;10005;1;1;1
8649;10005;1;1;1
8700;10005;1;1;1
8750;10005;1;1;1
8800;10005;1;1;1
8851;10005;1;1;1
8901;10005;1;1;1
8951;10005;1;1;1
9001;10005;1;1;1
9052;10005;1;1;1
9102;10005;1;1;1
9152;10005;1;1;1
9202;10005;1;1;1
9253;10005;1;1;1
9303;10005;1;1;1
9353;10005;1;1;1
9404;10005;1;1;1
9454;10005;1;1;1
9504;10005;1;1;1
9554;10005;1;1;1
